Link,Title,Location,Summary
https://kr.indeed.com/viewjob?jk=3617e30a1af44426,[NHN SOFT] Back-End 경력 개발자,성남 분당구,게임>응용프로그래머>Objective- C|인터넷·IT·통신·모바일·게임... 프로그래머>Win32|인터넷·IT·통신·모바일·게임>응용프로그래머>Pro- C|인터넷·IT·통신·모바일·게임>응용프로그래머>C#|인터넷·IT·통신·모바...
https://kr.indeed.com/viewjob?jk=188e3ac78cc59b05,"[정규직] 국내 안마의자 제조사 전장, 기구설계, 시스템개발 신입 경력 정규직",성남 분당구,"강가전제품 소프트웨어 개발업무- 안마의자 프로그램 개발- 구동 프로그램 C, C++- 모터제어 경험자* 전장(2명)- 건강가전제품 H/W 개발- 건강... 통신·모바일·게임>응용프로그래머> C·C++|인터넷·IT·통신·모바일·게임..."
https://kr.indeed.com/viewjob?jk=413cf61135b5f8c6,[BATTLEGROUNDS] UE4 Contents Programmer (경력 무관),서울 서초구,게임>게임(Game)>서버·네트워크개발|인터넷·IT·통신·모바일·게임>게임(Game)>시스템기획·설계|인터넷·IT·통신·모바일·게임>데이터베이스·DBA>데이터베이스개발자|인터넷·IT·통신·모바일·게임>응용프로그래머> C·C++
https://kr.indeed.com/viewjob?jk=034f3898c161cf58,백엔드(서버) 개발,서울 성동구,Golang 개발 경험이 있는 분- C / C++ 언어 개발 경험이 있는... 게임>웹프로그래머>프론트엔드|인터넷·IT·통신·모바일·게임>응용프로그래머> C·C++|인터넷·IT·통신·모바일·게임>응용프로그래머>Linux|인터넷...
https://kr.indeed.com/viewjob?jk=53f6c879368d2c86,홍익병원 전산 분야,서울 양천구,모바일·게임>전산·IT기술지원>IT기술지원|인터넷·IT·통신·모바일·게임>응용프로그래머>VB.NET|인터넷·IT·통신·모바일·게임>응용프로그래머> C·C++|인터넷·IT·통신·모바일·게임>데이터베이스·DBA>Oracle DB
https://kr.indeed.com/viewjob?jk=05852200596e1610,SCRUBBER 반도체 장비 C/S 유지보수(청주),청주 흥덕구,"직무내용] 1. 담당 업무 - 반도체 가스정화기(SCRUBBER 설비) AS 및 유지보수, Cleaning작업 - 청주SK하이닉스 근무예정 2. 6개월 계약직 근로계약 체결 후 시용평가 합격 시, 정규직 전환 [근무시간 및..."
https://kr.indeed.com/viewjob?jk=18eee77a54895815,"조리원, 조리사",서울 성북구,30~12:00 (휴게 08;00~09:00) B조 09:00~14:00 (휴게 13:00~13:30) C조 12:00~20:00 (휴게 14:00~15:00) 주소정근로시간 : 40시간 [급여조건] - 연봉 24000000...
https://kr.indeed.com/viewjob?jk=9f591f841d10bf31,[BATTLEGROUNDS] Junior Engine Tech Engineer (2년 이상),서울 서초구,이런 경험을 가진 분과 함께 성장하고 싶습니다! 엔지니어링 경력 2년 이상 C/C++ 언어 능숙한 사용전산 과목 이수 이런 경험들이 있다면 저희가 찾는... 시스템기획·설계|인터넷·IT·통신·모바일·게임>응용프로그래머> C·C++
https://kr.indeed.com/viewjob?jk=93d196ee3158a5c0,보안전문 기업 씽크에이티와 함께할 개발자,서울 구로구,"신입·경력(1년 이상자 우대) . 관련자격증 소지자, 관련종사 경력자 우대 개발 환경 - IVR 개발 환경 : C, C++ (Linux), dialogic globalcall api - asterisk 연동 환경 : node..."
https://kr.indeed.com/viewjob?jk=9d3959601cbf014f,[자동차 전장부품 우량대기업] Connected Car Service 개발 경력인재,서울,Android|인터넷·IT·통신·모바일·게임>응용프로그래머>클라우드|인터넷·IT·통신·모바일·게임>응용프로그래머> C·C++|전자·기계·기술·화학·연구개발>연구원·연구개발>커넥티드카소프트웨어기술개발|전자·기계·기술·화학·연구개...
